Interval_Type,Direction,Continuation_Tone,Trained_M,Trained_SE,Untrained_M,Untrained_SE
Major_Second,Ascending,1,3.58,0.31,2.75,0.51
Major_Second,Ascending,2,2.08,0.36,2.25,0.30
Major_Second,Ascending,3,2.58,0.40,2.50,0.26
Major_Second,Ascending,4,3.83,0.59,4.08,0.47
Major_Second,Ascending,5,3.00,0.44,3.17,0.32
Major_Second,Ascending,6,5.33,0.45,5.58,0.26
Major_Second,Ascending,7,2.58,0.38,3.33,0.36
Major_Second,Ascending,8,4.17,0.34,4.83,0.37
Major_Second,Ascending,9,5.25,0.39,5.25,0.35
Major_Second,Ascending,10,4.92,0.43,4.83,0.42
Major_Second,Ascending,11,4.42,0.38,5.08,0.34
Major_Second,Ascending,12,3.42,0.34,2.92,0.45
Major_Second,Ascending,13,4.42,0.31,5.50,0.29
Major_Second,Ascending,14,6.00,0.28,5.08,0.34
Major_Second,Ascending,15,5.92,0.40,5.33,0.36
Major_Second,Ascending,16,5.75,0.33,5.67,0.33
Major_Second,Ascending,17,4.25,0.37,3.17,0.42
Major_Second,Ascending,18,5.42,0.43,5.08,0.23
Major_Second,Ascending,19,2.92,0.31,3.67,0.43
Major_Second,Ascending,20,4.00,0.35,5.25,0.49
Major_Second,Ascending,21,4.17,0.42,4.00,0.35
Major_Second,Ascending,22,4.00,0.46,3.33,0.53
Major_Second,Ascending,23,3.17,0.42,3.00,0.49
Major_Second,Ascending,24,1.75,0.22,2.17,0.44
Major_Second,Ascending,25,3.25,0.43,3.33,0.45
Major_Second,Descending,1,3.92,0.43,2.67,0.33
Major_Second,Descending,2,1.75,0.33,1.83,0.24
Major_Second,Descending,3,2.75,0.33,3.08,0.47
Major_Second,Descending,4,2.42,0.19,2.75,0.30
Major_Second,Descending,5,3.08,0.45,3.25,0.37
Major_Second,Descending,6,5.33,0.31,4.33,0.43
Major_Second,Descending,7,2.92,0.40,2.83,0.24
Major_Second,Descending,8,4.58,0.47,5.00,0.35
Major_Second,Descending,9,3.50,0.42,3.50,0.45
Major_Second,Descending,10,5.50,0.26,4.83,0.32
Major_Second,Descending,11,5.67,0.41,5.25,0.33
Major_Second,Descending,12,4.75,0.45,4.42,0.53
Major_Second,Descending,13,4.67,0.40,5.42,0.36
Major_Second,Descending,14,3.50,0.47,3.83,0.47
Major_Second,Descending,15,4.67,0.31,4.92,0.50
Major_Second,Descending,16,5.17,0.41,5.92,0.36
Major_Second,Descending,17,5.08,0.38,4.42,0.42
Major_Second,Descending,18,6.25,0.35,5.17,0.27
Major_Second,Descending,19,3.00,0.30,3.42,0.36
Major_Second,Descending,20,5.83,0.24,5.25,0.35
Major_Second,Descending,21,3.58,0.36,3.75,0.52
Major_Second,Descending,22,5.00,0.37,4.08,0.40
Major_Second,Descending,23,3.83,0.34,3.58,0.47
Major_Second,Descending,24,2.42,0.40,2.33,0.40
Major_Second,Descending,25,4.83,0.51,4.75,0.54
Minor_Third,Ascending,1,4.42,0.48,3.75,0.33
Minor_Third,Ascending,2,2.33,0.40,2.25,0.30
Minor_Third,Ascending,3,3.25,0.49,3.83,0.53
Minor_Third,Ascending,4,2.75,0.25,3.25,0.30
Minor_Third,Ascending,5,3.83,0.34,3.67,0.43
Minor_Third,Ascending,6,5.92,0.23,5.00,0.46
Minor_Third,Ascending,7,2.92,0.34,2.67,0.43
Minor_Third,Ascending,8,4.75,0.45,5.25,0.22
Minor_Third,Ascending,9,4.08,0.45,3.83,0.42
Minor_Third,Ascending,10,4.83,0.34,5.17,0.44
Minor_Third,Ascending,11,5.92,0.23,5.25,0.33
Minor_Third,Ascending,12,4.17,0.60,4.33,0.51
Minor_Third,Ascending,13,5.33,0.22,5.33,0.40
Minor_Third,Ascending,14,3.50,0.47,4.25,0.46
Minor_Third,Ascending,15,6.00,0.21,5.67,0.22
Minor_Third,Ascending,16,3.92,0.42,3.83,0.39
Minor_Third,Ascending,17,5.33,0.26,5.50,0.19
Minor_Third,Ascending,18,6.58,0.19,5.75,0.33
Minor_Third,Ascending,19,2.58,0.43,3.50,0.57
Minor_Third,Ascending,20,6.08,0.29,5.83,0.21
Minor_Third,Ascending,21,2.67,0.36,3.25,0.43
Minor_Third,Ascending,22,5.58,0.40,5.58,0.47
Minor_Third,Ascending,23,3.50,0.34,3.17,0.61
Minor_Third,Ascending,24,1.75,0.28,2.58,0.53
Minor_Third,Ascending,25,4.08,0.34,4.33,0.61
Minor_Third,Descending,1,3.17,0.51,2.42,0.50
Minor_Third,Descending,2,2.25,0.49,2.08,0.45
Minor_Third,Descending,3,2.00,0.41,2.33,0.31
Minor_Third,Descending,4,4.50,0.44,3.92,0.36
Minor_Third,Descending,5,2.67,0.48,2.50,0.23
Minor_Third,Descending,6,3.75,0.41,4.00,0.35
Minor_Third,Descending,7,3.00,0.48,2.83,0.32
Minor_Third,Descending,8,4.17,0.46,4.67,0.45
Minor_Third,Descending,9,5.75,0.43,5.75,0.35
Minor_Third,Descending,10,4.67,0.47,3.83,0.49
Minor_Third,Descending,11,5.67,0.31,6.42,0.19
Minor_Third,Descending,12,4.17,0.37,3.67,0.41
Minor_Third,Descending,13,4.83,0.42,5.17,0.37
Minor_Third,Descending,14,5.67,0.28,4.83,0.34
Minor_Third,Descending,15,4.83,0.30,4.50,0.31
Minor_Third,Descending,16,5.25,0.35,6.25,0.30
Minor_Third,Descending,17,4.17,0.47,4.42,0.47
Minor_Third,Descending,18,5.67,0.26,5.67,0.19
Minor_Third,Descending,19,3.83,0.49,3.75,0.48
Minor_Third,Descending,20,4.67,0.41,5.33,0.40
Minor_Third,Descending,21,6.08,0.26,4.92,0.42
Minor_Third,Descending,22,3.17,0.39,3.42,0.47
Minor_Third,Descending,23,3.50,0.36,4.33,0.38
Minor_Third,Descending,24,2.08,0.31,2.58,0.45
Minor_Third,Descending,25,3.83,0.32,3.92,0.43
Major_Sixth,Ascending,1,3.25,0.57,3.42,0.56
Major_Sixth,Ascending,2,4.08,0.40,4.08,0.48
Major_Sixth,Ascending,3,3.33,0.51,3.50,0.45
Major_Sixth,Ascending,4,5.00,0.30,4.00,0.48
Major_Sixth,Ascending,5,4.08,0.45,3.33,0.28
Major_Sixth,Ascending,6,4.58,0.42,4.08,0.38
Major_Sixth,Ascending,7,3.17,0.27,3.75,0.45
Major_Sixth,Ascending,8,3.75,0.28,4.25,0.30
Major_Sixth,Ascending,9,5.75,0.45,5.25,0.43
Major_Sixth,Ascending,10,3.42,0.40,3.33,0.38
Major_Sixth,Ascending,11,6.17,0.24,6.00,0.35
Major_Sixth,Ascending,12,4.33,0.38,4.42,0.47
Major_Sixth,Ascending,13,5.17,0.41,5.50,0.42
Major_Sixth,Ascending,14,5.83,0.21,5.33,0.40
Major_Sixth,Ascending,15,4.58,0.38,4.58,0.23
Major_Sixth,Ascending,16,5.33,0.40,5.75,0.30
Major_Sixth,Ascending,17,4.08,0.48,3.50,0.45
Major_Sixth,Ascending,18,4.17,0.41,5.25,0.30
Major_Sixth,Ascending,19,2.75,0.28,3.83,0.51
Major_Sixth,Ascending,20,4.00,0.35,4.75,0.41
Major_Sixth,Ascending,21,5.25,0.41,5.00,0.39
Major_Sixth,Ascending,22,2.50,0.38,3.58,0.57
Major_Sixth,Ascending,23,4.08,0.42,3.50,0.47
Major_Sixth,Ascending,24,2.00,0.37,2.17,0.52
Major_Sixth,Ascending,25,4.00,0.37,4.25,0.55
Major_Sixth,Descending,1,3.50,0.36,2.83,0.41
Major_Sixth,Descending,2,1.50,0.26,2.33,0.31
Major_Sixth,Descending,3,2.92,0.45,2.83,0.30
Major_Sixth,Descending,4,2.33,0.41,1.92,0.23
Major_Sixth,Descending,5,2.58,0.19,2.33,0.31
Major_Sixth,Descending,6,5.25,0.46,4.33,0.45
Major_Sixth,Descending,7,2.42,0.47,3.00,0.44
Major_Sixth,Descending,8,3.83,0.34,3.50,0.36
Major_Sixth,Descending,9,3.17,0.41,3.42,0.40
Major_Sixth,Descending,10,5.00,0.37,4.50,0.38
Major_Sixth,Descending,11,5.58,0.34,5.42,0.38
Major_Sixth,Descending,12,4.83,0.39,4.67,0.47
Major_Sixth,Descending,13,5.67,0.33,5.33,0.36
Major_Sixth,Descending,14,4.67,0.31,3.92,0.45
Major_Sixth,Descending,15,5.00,0.33,5.08,0.36
Major_Sixth,Descending,16,5.00,0.48,4.83,0.32
Major_Sixth,Descending,17,4.33,0.45,5.33,0.36
Major_Sixth,Descending,18,6.58,0.23,5.42,0.34
Major_Sixth,Descending,19,3.33,0.43,3.33,0.41
Major_Sixth,Descending,20,6.25,0.18,6.25,0.18
Major_Sixth,Descending,21,4.83,0.49,4.50,0.36
Major_Sixth,Descending,22,5.67,0.28,5.08,0.51
Major_Sixth,Descending,23,5.08,0.42,4.58,0.43
Major_Sixth,Descending,24,3.00,0.49,3.25,0.33
Major_Sixth,Descending,25,5.25,0.41,4.83,0.40
Minor_Seventh,Ascending,1,4.67,0.38,5.00,0.37
Minor_Seventh,Ascending,2,3.08,0.53,2.83,0.49
Minor_Seventh,Ascending,3,4.08,0.45,4.25,0.48
Minor_Seventh,Ascending,4,4.42,0.47,3.67,0.43
Minor_Seventh,Ascending,5,4.42,0.34,4.33,0.45
Minor_Seventh,Ascending,6,4.75,0.45,4.92,0.38
Minor_Seventh,Ascending,7,3.42,0.53,3.42,0.57
Minor_Seventh,Ascending,8,4.83,0.51,4.58,0.40
Minor_Seventh,Ascending,9,3.42,0.43,3.42,0.38
Minor_Seventh,Ascending,10,5.33,0.26,5.67,0.31
Minor_Seventh,Ascending,11,5.17,0.41,5.33,0.40
Minor_Seventh,Ascending,12,5.17,0.46,4.83,0.46
Minor_Seventh,Ascending,13,4.75,0.37,5.08,0.53
Minor_Seventh,Ascending,14,3.58,0.38,4.17,0.47
Minor_Seventh,Ascending,15,5.42,0.38,5.25,0.35
Minor_Seventh,Ascending,16,4.25,0.45,4.50,0.36
Minor_Seventh,Ascending,17,3.92,0.47,4.75,0.33
Minor_Seventh,Ascending,18,4.58,0.50,5.25,0.39
Minor_Seventh,Ascending,19,3.92,0.40,3.58,0.42
Minor_Seventh,Ascending,20,4.75,0.46,5.58,0.45
Minor_Seventh,Ascending,21,3.33,0.43,3.83,0.42
Minor_Seventh,Ascending,22,5.00,0.37,4.58,0.38
Minor_Seventh,Ascending,23,2.50,0.45,3.17,0.47
Minor_Seventh,Ascending,24,2.33,0.28,3.42,0.48
Minor_Seventh,Ascending,25,4.33,0.45,4.33,0.64

Minor_Seventh,Descending,1,3.75,0.41,3.00,0.46
Minor_Seventh,Descending,2,2.58,0.31,2.08,0.31
Minor_Seventh,Descending,3,2.08,0.29,2.83,0.42
Minor_Seventh,Descending,4,2.50,0.42,3.08,0.43
Minor_Seventh,Descending,5,2.33,0.28,2.25,0.28
Minor_Seventh,Descending,6,4.42,0.43,4.67,0.38
Minor_Seventh,Descending,7,2.17,0.34,2.58,0.26
Minor_Seventh,Descending,8,3.67,0.33,4.00,0.35
Minor_Seventh,Descending,9,3.92,0.48,4.17,0.32
Minor_Seventh,Descending,10,4.33,0.43,4.00,0.41
Minor_Seventh,Descending,11,4.58,0.36,5.50,0.31
Minor_Seventh,Descending,12,4.67,0.41,4.25,0.43
Minor_Seventh,Descending,13,4.83,0.41,5.25,0.33
Minor_Seventh,Descending,14,5.00,0.28,5.17,0.24
Minor_Seventh,Descending,15,4.42,0.31,4.92,0.31
Minor_Seventh,Descending,16,4.58,0.40,5.42,0.31
Minor_Seventh,Descending,17,3.92,0.29,4.67,0.43
Minor_Seventh,Descending,18,5.42,0.48,5.83,0.27
Minor_Seventh,Descending,19,3.75,0.39,3.42,0.43
Minor_Seventh,Descending,20,4.50,0.36,5.25,0.37
Minor_Seventh,Descending,21,5.58,0.38,5.67,0.58
Minor_Seventh,Descending,22,5.25,0.30,5.33,0.48
Minor_Seventh,Descending,23,4.33,0.33,4.83,0.55
Minor_Seventh,Descending,24,3.25,0.45,2.67,0.33
Minor_Seventh,Descending,25,4.92,0.36,5.08,0.50
