subject,code,noteOctave,note,sd
s2,NC08,D4,D,12
s4,NC08,D3,D,12
s6,NC08,D4,D,12
s8,NC08,C4,C,10
s10,NC08,D4,D,12
s12,NC08,D3,D,12
s16,NC08,D3,D,12
s21,NC08,D3,D,12
s23,NC08,D#3,D#,1
s25,NC08,D4,D,12
s27,NC08,A#2,A#,8
s29,NC08,D4,D,12
s31,NC08,D4,D,12
s33,NC08,D3,D,12
s35,NC08,D#4,D#,1
s37,NC08,A#2,A#,8
s41,NC08,A#4,A#,8
s42,NC08,F4,F,3
s44,NC08,D4,D,12
s47,NC08,D4,D,12
s49,NC08,D#4,D#,1
s51,NC08,D4,D,12
s53,NC08,D3,D,12
s56,NC08,A#2,A#,8
s58,NC08,A#3,A#,8
s1,NC09,B3,B,2
s9,NC09,D#4,D#,6
s11,NC09,D4,D,5
s18,NC09,A#4,A#,1
s20,NC09,D4,D,5
s22,NC09,F4,F,8
s24,NC09,A4,A,12
s28,NC09,D4,D,5
s30,NC09,G4,G,10
s32,NC09,A4,A,12
s34,NC09,A4,A,12
s38,NC09,D4,D,5
s40,NC09,A#4,A#,1
s50,NC09,A4,A,12
s52,NC09,G#4,G#,11
s54,NC09,A4,A,12
s3,NC09,A3,A,12
s5,NC09,G3,G,10
s7,NC09,F3,F,8
s13,NC09,F3,F,8
s15,NC09,A3,A,12
s36,NC09,G#3,G#,11
s43,NC09,A#2,A#,1
s46,NC09,G3,G,10
s48,NC09,A3,A,12
s1,NC10,G4,G,3
s3,NC10,G3,G,3
s5,NC10,A3,A,5
s7,NC10,A3,A,5
s9,NC10,A4,A,5
s11,NC10,A4,A,5
s13,NC10,C4,C,8
s15,NC10,G#3,G#,4
s18,NC10,A4,A,5
s20,NC10,F#4,F#,2
s22,NC10,E4,E,12
s24,NC10,G4,G,3
s28,NC10,G4,G,3
s30,NC10,A4,A,5
s32,NC10,A4,A,5
s34,NC10,A4,A,5
s36,NC10,A3,A,5
s38,NC10,F#4,F#,2
s40,NC10,A4,A,5
s43,NC10,A3,A,5
s46,NC10,A3,A,5
s48,NC10,A3,A,5
s50,NC10,A4,A,5
s52,NC10,F#4,F#,2
s54,NC10,A4,A,5
s2,NC11,A#3,A#,11
s16,NC11,A2,A,10
s56,NC11,A2,A,10
s27,NC11,A3,A,10
s35,NC11,A3,A,10
s41,NC11,A3,A,10
s12,NC11,B2,B,12
s53,NC11,B2,B,12
s8,NC11,B3,B,12
s44,NC11,B3,B,12
s4,NC11,C3,C,1
s33,NC11,C3,C,1
s58,NC11,C3,C,1
s6,NC11,C4,C,1
s10,NC11,C4,C,1
s49,NC11,C4,C,1
s42,NC11,E4,E,5
s21,NC11,G2,G,8
s23,NC11,G3,G,8
s25,NC11,G3,G,8
s31,NC11,G3,G,8
s47,NC11,G3,G,8
s51,NC11,G3,G,8
s29,NC11,nan,nan,FALSE
s37,NC11,nan,nan,FALSE
s2,NC12,B3,B,5
s4,NC12,A3,A,3
s6,NC12,E4,E,10
s8,NC12,A4,A,3
s10,NC12,A4,A,3
s12,NC12,A3,A,3
s16,NC12,D3,D,8
s21,NC12,E3,E,10
s23,NC12,E3,E,10
s25,NC12,D4,D,8
s27,NC12,A3,A,3
s29,NC12,G4,G,1
s31,NC12,A4,A,3
s33,NC12,G3,G,1
s35,NC12,E4,E,10
s37,NC12,F2,F,11
s41,NC12,A4,A,3
s42,NC12,E4,E,10
s44,NC12,A4,A,3
s47,NC12,D4,D,8
s49,NC12,A4,A,3
s51,NC12,D4,D,8
s53,NC12,A3,A,3
s56,NC12,A3,A,3
s58,NC12,A3,A,3
s1,NC13,E4,E,3
s3,NC13,D3,D,1
s5,NC13,G2,G,6
s7,NC13,C#3,C#,12
s9,NC13,A3,A,8
s11,NC13,D4,D,1
s13,NC13,E3,E,3
s15,NC13,C#3,C#,12
s18,NC13,E4,E,3
s20,NC13,D4,D,1
s22,NC13,A3,A,8
s24,NC13,C#4,C#,12
s28,NC13,C#4,C#,12
s30,NC13,D4,D,1
s32,NC13,G#3,G#,7
s34,NC13,C#4,C#,12
s36,NC13,E3,E,3
s38,NC13,A3,A,8
s40,NC13,D4,D,1
s43,NC13,E3,E,3
s46,NC13,C#3,C#,12
s48,NC13,A2,A,8
s50,NC13,A3,A,8
s52,NC13,A#3,A#,9
s54,NC13,A3,A,8
s2,NC14,F#4,F#,10
s33,NC14,A#3,A#,2
s4,NC14,A3,A,1
s16,NC14,A3,A,1
s21,NC14,A3,A,1
s23,NC14,A3,A,1
s27,NC14,A3,A,1
s53,NC14,A3,A,1
s58,NC14,A3,A,1
s6,NC14,A4,A,1
s8,NC14,A4,A,1
s10,NC14,A4,A,1
s25,NC14,A4,A,1
s29,NC14,A4,A,1
s31,NC14,A4,A,1
s35,NC14,A4,A,1
s42,NC14,A4,A,1
s49,NC14,A4,A,1
s12,NC14,B3,B,3
s41,NC14,C#4,C#,5
s47,NC14,E4,E,8
s51,NC14,E4,E,8
s56,NC14,G3,G,11
s44,NC14,G4,G,11
s37,NC14,nan,nan,FALSE
s1,NC15,F#4,F#,3
s3,NC15,G#3,G#,5
s5,NC15,F#3,F#,3
s7,NC15,F#3,F#,3
s9,NC15,G#4,G#,5
s11,NC15,F#4,F#,3
s13,NC15,F#3,F#,3
s15,NC15,F#3,F#,3
s18,NC15,F#4,F#,3
s20,NC15,G#4,G#,5
s22,NC15,D4,D,11
s24,NC15,F#4,F#,3
s28,NC15,F#4,F#,3
s30,NC15,F#4,F#,3
s32,NC15,F#4,F#,3
s34,NC15,F#4,F#,3
s36,NC15,F#3,F#,3
s38,NC15,E4,E,1
s40,NC15,A#4,A#,7
s43,NC15,F3,F,2
s46,NC15,F#3,F#,3
s48,NC15,F#3,F#,3
s50,NC15,G#4,G#,5
s52,NC15,B3,B,8
s54,NC15,F#4,F#,3
s2,NC16,B3,B,1
s4,NC16,F#3,F#,8
s6,NC16,F#4,F#,8
s8,NC16,F#4,F#,8
s10,NC16,D#4,D#,5
s12,NC16,F#3,F#,8
s16,NC16,C#3,C#,3
s21,NC16,D#3,D#,5
s23,NC16,D#3,D#,5
s25,NC16,D#4,D#,5
s27,NC16,D#3,D#,5
s29,NC16,D#4,D#,5
s31,NC16,D#4,D#,5
s33,NC16,D#3,D#,5
s35,NC16,D#4,D#,5
s37,NC16,C#3,C#,3
s41,NC16,D#4,D#,5
s42,NC16,B3,B,1
s44,NC16,D#4,D#,5
s47,NC16,F#4,F#,8
s49,NC16,D#4,D#,5
s51,NC16,D#4,D#,5
s53,NC16,E3,E,6
s56,NC16,D#3,D#,5
s58,NC16,F#3,F#,8
s2,NC17,A#3,A#,5
s4,NC17,C#3,C#,8
s6,NC17,A#3,A#,5
s8,NC17,A#3,A#,5
s10,NC17,C#4,C#,8
s12,NC17,C#3,C#,8
s16,NC17,A#2,A#,5
s21,NC17,C#3,C#,8
s23,NC17,F#3,F#,1
s25,NC17,A#3,A#,5
s27,NC17,C#3,C#,8
s29,NC17,A#3,A#,5
s31,NC17,A#3,A#,5
s33,NC17,A#2,A#,5
s35,NC17,B3,B,6
s37,NC17,A2,A,4
s41,NC17,C#4,C#,8
s42,NC17,B3,B,6
s44,NC17,A#3,A#,5
s47,NC17,C#4,C#,8
s49,NC17,C#4,C#,8
s51,NC17,C#4,C#,8
s53,NC17,C#3,C#,8
s56,NC17,F#3,F#,1
s58,NC17,F#2,F#,1
s1,NC01,C4,C,6
s3,NC01,A3,A,3
s5,NC01,F#3,F#,12
s7,NC01,C#3,C#,7
s9,NC01,E4,E,10
s11,NC01,D4,D,8
s13,NC01,A3,A,3
s15,NC01,D3,D,8
s18,NC01,A4,A,3
s20,NC01,A4,A,3
s22,NC01,A4,A,3
s24,NC01,A4,A,3
s28,NC01,C4,C,6
s30,NC01,A4,A,3
s32,NC01,A4,A,3
s34,NC01,F#4,F#,12
s36,NC01,A3,A,3
s38,NC01,D4,D,8
s40,NC01,G4,G,1
s43,NC01,A3,A,3
s46,NC01,D3,D,8
s48,NC01,F#3,F#,12
s50,NC01,E4,E,10
s52,NC01,G#4,G#,2
s54,NC01,A4,A,3
s2,NC18,D#4,D#,3
s4,NC18,B2,B,11
s6,NC18,F#4,F#,6
s8,NC18,E4,E,4
s10,NC18,G#3,G#,8
s12,NC18,C#3,C#,1
s16,NC18,C3,C,12
s21,NC18,G#3,G#,8
s23,NC18,D#3,D#,3
s25,NC18,B3,B,11
s27,NC18,B2,B,11
s29,NC18,F#4,F#,6
s31,NC18,A3,A,9
s33,NC18,D#3,D#,3
s35,NC18,F4,F,5
s37,NC18,D#3,D#,3
s41,NC18,G#4,G#,8
s42,NC18,F4,F,5
s44,NC18,B3,B,11
s47,NC18,G#3,G#,8
s49,NC18,C#4,C#,1
s51,NC18,C#4,C#,1
s53,NC18,F3,F,5
s56,NC18,D#3,D#,3
s58,NC18,G#2,G#,8
s1,NC19,F#4,F#,11
s3,NC19,G#3,G#,1
s5,NC19,D#3,D#,8
s7,NC19,D#3,D#,8
s9,NC19,D#4,D#,8
s11,NC19,G4,G,12
s13,NC19,D#3,D#,8
s15,NC19,D#3,D#,8
s18,NC19,A#4,A#,3
s20,NC19,D#4,D#,8
s22,NC19,A#4,A#,3
s24,NC19,D#4,D#,8
s28,NC19,E4,E,9
s30,NC19,D#4,D#,8
s32,NC19,D#4,D#,8
s34,NC19,F#4,F#,11
s36,NC19,A#3,A#,3
s38,NC19,D#4,D#,8
s40,NC19,G#4,G#,1
s43,NC19,D#3,D#,8
s46,NC19,D#3,D#,8
s48,NC19,C#4,C#,6
s50,NC19,D#4,D#,8
s52,NC19,D#4,D#,8
s54,NC19,D#4,D#,8
s2,NC20,D#4,D#,1
s4,NC20,D3,D,12
s6,NC20,D#4,D#,1
s8,NC20,B3,B,9
s10,NC20,A#3,A#,8
s12,NC20,D3,D,12
s16,NC20,A#2,A#,8
s21,NC20,A#2,A#,8
s23,NC20,D#3,D#,1
s25,NC20,A#3,A#,8
s27,NC20,A#2,A#,8
s29,NC20,G4,G,5
s31,NC20,G#3,G#,6
s33,NC20,A#2,A#,8
s35,NC20,E4,E,2
s37,NC20,G#2,G#,6
s41,NC20,D#4,D#,1
s42,NC20,F4,F,3
s44,NC20,A#3,A#,8
s47,NC20,A#3,A#,8
s49,NC20,A#3,A#,8
s51,NC20,A#3,A#,8
s53,NC20,D3,D,12
s56,NC20,F3,F,3
s58,NC20,A#2,A#,8
s1,NC21,G#4,G#,11
s3,NC21,G3,G,10
s5,NC21,G3,G,10
s7,NC21,D3,D,5
s9,NC21,D4,D,5
s11,NC21,D#4,D#,6
s13,NC21,D3,D,5
s15,NC21,D3,D,5
s18,NC21,G#4,G#,11
s20,NC21,F#3,F#,9
s22,NC21,D#3,D#,6
s24,NC21,A#3,A#,1
s28,NC21,D4,D,5
s30,NC21,D4,D,5
s32,NC21,F4,F,8
s34,NC21,D#4,D#,6
s36,NC21,G#3,G#,11
s38,NC21,D#4,D#,6
s40,NC21,G4,G,10
s43,NC21,A#2,A#,1
s46,NC21,F3,F,8
s48,NC21,A#2,A#,1
s50,NC21,A#3,A#,1
s52,NC21,F#3,F#,9
s54,NC21,D#4,D#,6
s1,NC22,E4,E,12
s3,NC22,G3,G,3
s5,NC22,A#2,A#,6
s7,NC22,C3,C,8
s9,NC22,D4,D,10
s11,NC22,C4,C,8
s13,NC22,G3,G,3
s15,NC22,D#3,D#,11
s18,NC22,F4,F,1
s20,NC22,C4,C,8
s22,NC22,E4,E,12
s24,NC22,F4,F,1
s28,NC22,C4,C,8
s30,NC22,F4,F,1
s32,NC22,C4,C,8
s34,NC22,C4,C,8
s36,NC22,F3,F,1
s38,NC22,D4,D,10
s40,NC22,A#4,A#,6
s43,NC22,B2,B,7
s46,NC22,E3,E,12
s48,NC22,F3,F,1
s50,NC22,G4,G,3
s52,NC22,E4,E,12
s54,NC22,C4,C,8
s2,NC23,C4,C,1
s4,NC23,F3,F,6
s6,NC23,F4,F,6
s8,NC23,B2,B,12
s10,NC23,B3,B,12
s12,NC23,F3,F,6
s16,NC23,B2,B,12
s21,NC23,C3,C,1
s23,NC23,D3,D,3
s25,NC23,B3,B,12
s27,NC23,D3,D,3
s29,NC23,D4,D,3
s31,NC23,B3,B,12
s33,NC23,B2,B,12
s35,NC23,B3,B,12
s37,NC23,G2,G,8
s41,NC23,F4,F,6
s42,NC23,C4,C,1
s44,NC23,D4,D,3
s47,NC23,F4,F,6
s49,NC23,C4,C,1
s51,NC23,A3,A,10
s53,NC23,B2,B,12
s56,NC23,A2,A,10
s58,NC23,G3,G,8
s1,NC24,G4,G,6
s3,NC24,C3,C,11
s5,NC24,E3,E,3
s7,NC24,B2,B,10
s9,NC24,E4,E,3
s11,NC24,E4,E,3
s13,NC24,E3,E,3
s15,NC24,E3,E,3
s18,NC24,G4,G,6
s20,NC24,G3,G,6
s22,NC24,E4,E,3
s24,NC24,E4,E,3
s28,NC24,E4,E,3
s30,NC24,E4,E,3
s32,NC24,E4,E,3
s34,NC24,F#4,F#,5
s36,NC24,E3,E,3
s38,NC24,A3,A,8
s40,NC24,E4,E,3
s43,NC24,A3,A,8
s46,NC24,E3,E,3
s48,NC24,E3,E,3
s50,NC24,F#4,F#,5
s52,NC24,E4,E,3
s54,NC24,E4,E,3
s1,NC25,G#4,G#,12
s48,NC25,A#3,A#,2
s13,NC25,A3,A,1
s24,NC25,A4,A,1
s32,NC25,A4,A,1
s34,NC25,A4,A,1
s54,NC25,A4,A,1
s50,NC25,C4,C,4
s43,NC25,D#3,D#,7
s52,NC25,D#4,D#,7
s15,NC25,D3,D,6
s5,NC25,E3,E,8
s7,NC25,E3,E,8
s36,NC25,E3,E,8
s46,NC25,E3,E,8
s9,NC25,E4,E,8
s11,NC25,E4,E,8
s22,NC25,E4,E,8
s28,NC25,E4,E,8
s38,NC25,E4,E,8
s40,NC25,E4,E,8
s3,NC25,G#3,G#,12
s30,NC25,G#4,G#,12
s18,NC25,G4,G,11
s20,NC25,nan,nan,FALSE
s1,NC26,A4,A,6
s9,NC26,G#4,G#,5
s11,NC26,A4,A,6
s18,NC26,A4,A,6
s20,NC26,F4,F,2
s22,NC26,B3,B,8
s24,NC26,F#4,F#,3
s28,NC26,B3,B,8
s30,NC26,F#4,F#,3
s32,NC26,B4,B,8
s34,NC26,A4,A,6
s38,NC26,G#4,G#,5
s40,NC26,B3,B,8
s50,NC26,B4,B,8
s52,NC26,G#4,G#,5
s54,NC26,B3,B,8
s3,NC26,A3,A,6
s5,NC26,B3,B,8
s7,NC26,A3,A,6
s13,NC26,D#3,D#,12
s15,NC26,G#3,G#,5
s36,NC26,A3,A,6
s43,NC26,B3,B,8
s46,NC26,B3,B,8
s48,NC26,D4,D,11
s2,NC02,D4,D,1
s4,NC02,C#3,C#,12
s6,NC02,D4,D,1
s8,NC02,D4,D,1
s10,NC02,C#4,C#,12
s12,NC02,C#3,C#,12
s16,NC02,E3,E,3
s21,NC02,C#3,C#,12
s23,NC02,A3,A,8
s25,NC02,E4,E,3
s27,NC02,E3,E,3
s29,NC02,D4,D,1
s31,NC02,C#4,C#,12
s33,NC02,C#3,C#,12
s35,NC02,C#4,C#,12
s37,NC02,C#3,C#,12
s41,NC02,F#4,F#,5
s42,NC02,C#4,C#,12
s44,NC02,C#4,C#,12
s47,NC02,D4,D,1
s49,NC02,D4,D,1
s51,NC02,C#4,C#,12
s53,NC02,C#3,C#,12
s56,NC02,D3,D,1
s58,NC02,E3,E,3
s2,NC27,A#3,A#,12
s4,NC27,B2,B,1
s6,NC27,C#4,C#,3
s8,NC27,A#3,A#,12
s10,NC27,D#4,D#,5
s12,NC27,C#3,C#,3
s16,NC27,F#2,F#,8
s21,NC27,F#2,F#,8
s23,NC27,F#3,F#,8
s25,NC27,F#3,F#,8
s27,NC27,D#3,D#,5
s29,NC27,B3,B,1
s31,NC27,A#3,A#,12
s33,NC27,C#3,C#,3
s35,NC27,B3,B,1
s37,NC27,A#2,A#,12
s41,NC27,C#4,C#,3
s42,NC27,E4,E,6
s44,NC27,B3,B,1
s47,NC27,B3,B,1
s49,NC27,D#4,D#,5
s51,NC27,F#3,F#,8
s53,NC27,B2,B,1
s56,NC27,E3,E,6
s58,NC27,A#2,A#,12
s2,NC28,D4,D,9
s4,NC28,G#3,G#,3
s31,NC28,B3,B,6
s16,NC28,C#3,C#,8
s21,NC28,C#3,C#,8
s27,NC28,C#3,C#,8
s37,NC28,C#3,C#,8
s58,NC28,C#3,C#,8
s25,NC28,C#4,C#,8
s47,NC28,C#4,C#,8
s51,NC28,C#4,C#,8
s23,NC28,D#3,D#,10
s42,NC28,D#4,D#,10
s44,NC28,D#4,D#,10
s6,NC28,E4,E,11
s41,NC28,F#4,F#,1
s12,NC28,G#3,G#,3
s33,NC28,G#3,G#,3
s10,NC28,G#4,G#,3
s35,NC28,G#4,G#,3
s49,NC28,G#4,G#,3
s53,NC28,G3,G,2
s56,NC28,G3,G,2
s8,NC28,G4,G,2
s29,NC28,nan,nan,FALSE
s1,NC29,C#4,C#,1
s22,NC29,C#3,C#,1
s11,NC29,C#4,C#,1
s18,NC29,C#4,C#,1
s50,NC29,C#4,C#,1
s54,NC29,C#4,C#,1
s34,NC29,C4,C,12
s30,NC29,D#4,D#,3
s20,NC29,F#3,F#,6
s28,NC29,F4,F,5
s9,NC29,G#3,G#,8
s24,NC29,G#3,G#,8
s32,NC29,G#3,G#,8
s38,NC29,G#3,G#,8
s40,NC29,G#4,G#,8
s43,NC29,B2,B,11
s15,NC29,C3,C,12
s46,NC29,C3,C,12
s48,NC29,C3,C,12
s13,NC29,D3,D,2
s3,NC29,F#3,F#,6
s7,NC29,G#2,G#,8
s36,NC29,G#2,G#,8
s5,NC29,G2,G,7
s52,NC29,nan,nan,FALSE
s2,NC30,G4,G,12
s4,NC30,D#3,D#,8
s6,NC30,G#4,G#,1
s8,NC30,F#4,F#,11
s10,NC30,D#4,D#,8
s12,NC30,G3,G,12
s16,NC30,D#3,D#,8
s21,NC30,D#3,D#,8
s23,NC30,D#3,D#,8
s25,NC30,D#4,D#,8
s27,NC30,D#3,D#,8
s29,NC30,G4,G,12
s31,NC30,E4,E,9
s33,NC30,D#3,D#,8
s35,NC30,D#4,D#,8
s37,NC30,D#3,D#,8
s41,NC30,G#4,G#,1
s42,NC30,D#4,D#,8
s44,NC30,D#4,D#,8
s47,NC30,D#4,D#,8
s49,NC30,F#4,F#,11
s51,NC30,D#4,D#,8
s53,NC30,E3,E,9
s56,NC30,G3,G,12
s58,NC30,D#3,D#,8
s1,NC31,A#3,A#,8
s3,NC31,A#2,A#,8
s5,NC31,C3,C,10
s7,NC31,A#2,A#,8
s9,NC31,A#3,A#,8
s11,NC31,D#4,D#,1
s13,NC31,B2,B,9
s15,NC31,A#2,A#,8
s18,NC31,C4,C,10
s20,NC31,B3,B,9
s22,NC31,D#4,D#,1
s24,NC31,A#3,A#,8
s28,NC31,A#3,A#,8
s30,NC31,C4,C,10
s32,NC31,A#3,A#,8
s34,NC31,B3,B,9
s36,NC31,F3,F,3
s38,NC31,B3,B,9
s40,NC31,A#3,A#,8
s43,NC31,C3,C,10
s46,NC31,A#2,A#,8
s48,NC31,A#2,A#,8
s50,NC31,A#3,A#,8
s52,NC31,D#4,D#,1
s54,NC31,A#3,A#,8
s2,NC32,B3,B,2
s4,NC32,C3,C,3
s6,NC32,D#4,D#,6
s8,NC32,D#4,D#,6
s10,NC32,C4,C,3
s12,NC32,D#3,D#,6
s16,NC32,D#3,D#,6
s21,NC32,D3,D,5
s23,NC32,E3,E,7
s25,NC32,D#4,D#,6
s27,NC32,C3,C,3
s29,NC32,D#4,D#,6
s31,NC32,D#4,D#,6
s33,NC32,C3,C,3
s35,NC32,D#4,D#,6
s37,NC32,D#3,D#,6
s41,NC32,C4,C,3
s42,NC32,D4,D,5
s44,NC32,D#4,D#,6
s47,NC32,D#4,D#,6
s49,NC32,C4,C,3
s51,NC32,D#4,D#,6
s53,NC32,F3,F,8
s56,NC32,D3,D,5
s58,NC32,C4,C,3
s2,NC33,F4,F,1
s4,NC33,E3,E,12
s6,NC33,A4,A,5
s8,NC33,F4,F,1
s10,NC33,C4,C,8
s12,NC33,G3,G,3
s16,NC33,D3,D,10
s21,NC33,D3,D,10
s23,NC33,A3,A,5
s25,NC33,F4,F,1
s27,NC33,F3,F,1
s29,NC33,G4,G,3
s31,NC33,E4,E,12
s33,NC33,F3,F,1
s35,NC33,F4,F,1
s37,NC33,C3,C,8
s41,NC33,A4,A,5
s42,NC33,G4,G,3
s44,NC33,E4,E,12
s47,NC33,C4,C,8
s49,NC33,E4,E,12
s51,NC33,C4,C,8
s53,NC33,G3,G,3
s56,NC33,C#3,C#,9
s58,NC33,F3,F,1
s1,NC34,B3,B,12
s9,NC34,B3,B,12
s11,NC34,D4,D,3
s18,NC34,C4,C,1
s20,NC34,F#3,F#,7
s22,NC34,E4,E,5
s24,NC34,G3,G,8
s28,NC34,F3,F,6
s30,NC34,E4,E,5
s32,NC34,F3,F,6
s34,NC34,B3,B,12
s38,NC34,B3,B,12
s40,NC34,B3,B,12
s50,NC34,G3,G,8
s52,NC34,G3,G,8
s54,NC34,F4,F,6
s3,NC34,C4,C,1
s5,NC34,G2,G,8
s7,NC34,A2,A,10
s13,NC34,C4,C,1
s15,NC34,F2,F,6
s36,NC34,F2,F,6
s43,NC34,F#2,F#,7
s46,NC34,F3,F,6
s48,NC34,G2,G,8
s1,NC35,C#4,C#,7
s3,NC35,G#2,G#,2
s5,NC35,D3,D,8
s7,NC35,D3,D,8
s9,NC35,D4,D,8
s11,NC35,D4,D,8
s13,NC35,D3,D,8
s15,NC35,D3,D,8
s18,NC35,F4,F,11
s20,NC35,D4,D,8
s22,NC35,D3,D,8
s24,NC35,F4,F,11
s28,NC35,D4,D,8
s30,NC35,D4,D,8
s32,NC35,F4,F,11
s34,NC35,F4,F,11
s36,NC35,A3,A,3
s38,NC35,D4,D,8
s40,NC35,G4,G,1
s43,NC35,C3,C,6
s46,NC35,D3,D,8
s48,NC35,A3,A,3
s50,NC35,D4,D,8
